sentence_id	sentence	locale	reason
0e047d99c6c75b076aa34cdd37238670b0a9340fb78737f62ae973eeaf6cea8b	It should not be confused with the Novodevichy Cemetery in Saint Petersburg.	en	grammar-or-spelling
0e047d99c6c75b076aa34cdd37238670b0a9340fb78737f62ae973eeaf6cea8b	It should not be confused with the Novodevichy Cemetery in Saint Petersburg.	en	offensive-language
0e047d99c6c75b076aa34cdd37238670b0a9340fb78737f62ae973eeaf6cea8b	It should not be confused with the Novodevichy Cemetery in Saint Petersburg.	en	different-language
0e047d99c6c75b076aa34cdd37238670b0a9340fb78737f62ae973eeaf6cea8b	It should not be confused with the Novodevichy Cemetery in Saint Petersburg.	en	difficult-pronounce
0e047d99c6c75b076aa34cdd37238670b0a9340fb78737f62ae973eeaf6cea8b	It should not be confused with the Novodevichy Cemetery in Saint Petersburg.	en	hh
0e0d2e5856573b1c82cc2d93362499697d4246abc7c8fa17b347339244aab4ee	Klima and his party heavily resented the fact that they were removed from rulership.	en	difficult-pronounce
0e12a5cc934957d08a7fc449640ac415bb08a434489c5dae7d88fce8f3fc84e2	Debus is a prominent member of Labor's Socialist Left faction.	en	difficult-pronounce
0e168f77437e8c2822d3c427c5fd6fe18a97de355c86da8b9aec6544873e8f98	The female version is Branimira and Branimirka.	en	difficult-pronounce
0e118966e7ae4648a9db565cbd0db76488d6c2a6f0709375b7521726ca5c7a2b	What's going on here?.	en	grammar-or-spelling
0df4ebe1f30a107d6f73ebcbe972ed8ee631388530c72e73ca56928a844e5629	Nizhny Novgorod is divided into two parts by the Oka River.	en	difficult-pronounce
0e3e7b04d5509722018e42f12145393edec1fa04968e072f233dd67bcf14f398	Pantoprazole is a proton pump inhibitor drug that inhibits gastric acid secretion.	en	difficult-pronounce
0e615bb11ebe087a65be3ae1413596b8c8f83dac67a74970d8f78726d9365837	Kazuno-Hanawa Station has a single island platform serving two tracks.	en	difficult-pronounce
0e58f6ec749667bc199004fa9b8c4faaae5e7fe1b0b14f9d09e5bd6ec8bb2406	Emperor Ai rewarded him with large sums of money.	en	difficult-pronounce
0e61d21c0162be0f3141d51fdbdc76da3a83456ae495dcd7734c32175b96a339	It was serialized by MediaWorks in the manga magazine Dengeki Comic Gao!	en	difficult-pronounce
0e13d3a0871a3476ab1330392b6589a91046ad222ad9ca5ba8f32f49fe781379	Nopaltepec's major products are corn, fruit, sugar, and rice.	en	difficult-pronounce
0e5ac572f7a8df5b83ee96486b18735f476652450cf93d6b8c415f6cc974b4cc	This was followed by seven chants of "Merdeka" by the crowd.	en	difficult-pronounce
0e5a13e2d3642d1e826fc9779ab41bde958074984571241a17f177eddefa5e14	Ore concentrates from the mine were moved south by the railroad.	en	offensive-language
0e1c5ef8b3d69f00296c61eb9394334a7a6827efa27a17790858192a2030ed81	Al-Hassan accused Dahlan of planning to murder him, a charge which Dahlan denied.	en	difficult-pronounce
0e80d415c13588888692000fe69d15085f485ca5d884c730aa92a1652fea9a7c	Vain", "More and More" and others.	en	grammar-or-spelling
0e8e146f98ae629f631a035f1d0887e6a20b01100ba30c7e8537cd314a92faca	In common usage, It can be stated with a question mark Cactus?	en	grammar-or-spelling
0e92c5b730ee3d6ab1b73676baf8e48b27095b930bf0d11973f9b05389d828b1	The cemetery is spread out over located on both sides of Catalina Blvd.	en	grammar-or-spelling
0e8df610ce121c696dc3ddb0208201b6cffe8207d4d419a5a4531195b4c818da	Occasional guest members include: Martin Green, Corrina Hewat and Aidan O'Rourke.	en	difficult-pronounce
0e89d80092794c8b52b66aad71be0de3af89ec37a3eca86bee0d32e635780068	If the Super Combo gauge is on Lv.	en	grammar-or-spelling
0ea41b6b487e5278920ca0c9d8d035273fadf4317d6bf180095e62c81160d280	Women were able to divorce their husbands.	en	grammar-or-spelling
0ebe3c9583a6238812508c5055bf3dc3c94b3a1da072feab210e292168ae435c	The station is licensed to nearby Hackettstown.	en	difficult-pronounce
0ea365247076a9d006de9094160ffa37fbb4c1ce99eb7aaf74bc36a633af94a9	Sai Kung East Country Parkoccupies a vast area of east Sai Kung Peninsula.	en	grammar-or-spelling
0f23be28e61e45d78ca22a48e37edb7d77ba18bf5f0f8caf5abca2d775e82ba6	His Paschales atque nouiluniorum mensurni canones.	en	different-language
0f23be28e61e45d78ca22a48e37edb7d77ba18bf5f0f8caf5abca2d775e82ba6	His Paschales atque nouiluniorum mensurni canones.	en	different-language
